Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
dataset_014	T014	20	1	1	2.57954	0.719269	1.30737	((16_0_0:0.16834219,((15_0_0:0.09612718,20_0_0:0.10178195):0.01697053,(14_0_0:0.06337947,6_0_0:0.06672254):0.02882223):0.08471014):0.38464227,(((7_0_0:0.00788689,(9_0_0:0.00004946,13_0_0:0.00002905):0.01857254):0.22464061,((18_0_0:0.01537196,8_0_0:0.00862543):0.08487367,19_0_0:0.05745145):0.03621192):0.44009646,(((3_0_0:0.00271588,2_0_0:0.00309031):0.00153168,1_0_0:0.00151668):0.23786285,((17_0_0:0.00716153,11_0_0:0.01001268):0.03237598,(((12_0_0:0.00171809,4_0_0:0.00236193):0.00211484,10_0_0:0.00241176):0.00450280,5_0_0:0.02461994):0.07187312):0.09951062):0.13294098):0.03590975);

dataset_015	T015	20	1	1	1.83312	0.559805	0.929925	((((14_0_0:0.06068885,6_0_0:0.14333734):0.01076159,(15_0_0:0.04717053,19_0_0:0.01185178):0.04247710):0.11065437,(((5_0_0:0.03879555,((12_0_0:0.00081643,4_0_0:0.00201586):0.00121109,10_0_0:0.00286764):0.00394483):0.12056256,(11_0_0:0.02049125,17_0_0:0.00371367):0.03962388):0.07496742,(((((3_0_0:0.00304716,2_0_0:0.00158709):0.00163309,1_0_0:0.00252680):0.01651537,16_0_0:0.02760886):0.00547345,(7_0_0:0.00097370,(13_0_0:0.00003950,9_0_0:0.00010663):0.02306177):0.02520353):0.05371561,(18_0_0:0.00574717,8_0_0:0.00683220):0.15917441):0.09794965):0.19336359):0.10248554,20_0_0:0.37011939);

dataset_016	T016	20	1	1	3.32555	0.7735	1.45548	(((((((4_0_0:0.00128707,12_0_0:0.00208643):0.00747629,(10_0_0:0.00032315,5_0_0:0.00048405):0.03907065):0.05337655,(17_0_0:0.01058033,11_0_0:0.01560549):0.09958229):0.18201637,(((13_0_0:0.00005660,9_0_0:0.00007853):0.00800942,7_0_0:0.01502863):0.13614330,((8_0_0:0.00740849,18_0_0:0.00815450):0.09575487,19_0_0:0.06889900):0.01936557):0.32554717):0.05745605,(16_0_0:0.10904892,((6_0_0:0.06529646,14_0_0:0.05016958):0.02905210,15_0_0:0.12320467):0.07889997):0.34675785):0.16083293,20_0_0:0.45440303):0.06380462,(1_0_0:0.00388766,(2_0_0:0.00560436,3_0_0:0.00441449):0.00248986):0.67389073);

dataset_017	T017	20	1	1	2.23718	0.798793	1.24507	(((2_0_0:0.00476940,3_0_0:0.00400295):0.00229943,1_0_0:0.00329600):0.43920484,(((((6_0_0:0.05400407,14_0_0:0.06152686):0.01941661,15_0_0:0.03080392):0.01511607,(20_0_0:0.07345885,16_0_0:0.16692881):0.03589533):0.20256793,((((4_0_0:0.00190751,12_0_0:0.00533709):0.00308311,10_0_0:0.00315688):0.00457847,5_0_0:0.01506308):0.01388693,(11_0_0:0.00466625,17_0_0:0.01139499):0.01753353):0.12948675):0.00516300,((7_0_0:0.01024710,(13_0_0:0.00004914,9_0_0:0.00016172):0.00303089):0.19016612,(19_0_0:0.02090318,(8_0_0:0.00363025,18_0_0:0.00163439):0.06018669):0.02024410):0.42564414):0.17273541);

dataset_018	T018	20	1	1	3.27456	0.864175	1.59065	(((1_0_0:0.00248395,(3_0_0:0.00355501,2_0_0:0.00175779):0.00368771):0.28238751,(((18_0_0:0.01214476,8_0_0:0.01693265):0.00065722,16_0_0:0.02287377):0.28565519,((14_0_0:0.04513463,6_0_0:0.09546910):0.03459019,15_0_0:0.12989561):0.06457206):0.43666222):0.11898411,((((5_0_0:0.01940261,((4_0_0:0.00195357,12_0_0:0.00215910):0.00342418,10_0_0:0.00388017):0.00468951):0.04148690,(17_0_0:0.01547690,11_0_0:0.01390274):0.07441540):0.14944154,20_0_0:0.37203927):0.18326409,(19_0_0:0.09260319,(7_0_0:0.01243492,(13_0_0:0.00007516,9_0_0:0.00008056):0.01402798):0.10950449):0.53214195):0.07071703);

